Rank,Peak,Worldwide gross,Year,Reference,Title
1,1,$2,796,274,401,2019,[# 1][# 2],Avengers Endgame
2,1,$2,789,679,794,2009,[# 3][# 4],Avatar
3,1,$2,187,463,944,1997,[# 5][# 6],Titanic
4,3,$2,068,223,624,2015,[# 7][# 8],Star Wars The Force Awakens
5,4,$2,048,359,754,2018,[# 9][# 10],Avengers Infinity War
6,3,$1,671,713,208,2015,[# 11][# 12],Jurassic World
7,7,$1,640,318,040,2019,[# 13][# 2],The Lion King
8,3,$1,518,812,988,2012,[# 14][# 15],The Avengers
9,4,$1,516,045,911,2015,[# 16][# 17],Furious 7
10,5,$1,405,403,694,2015,[# 18][# 17],Avengers Age of Ultron
11,9,$1,346,913,161,2018,[# 19][# 20],Black Panther
12,3,$1,341,693,157,2011,[# 21][# 22],Harry Potter and the Deathly Hallows – Part 2
13,9,$1,332,539,889,2017,[# 23][# 24],Star Wars The Last Jedi
14,12,$1,309,484,461,2018,[# 25][# 10],Jurassic World Fallen Kingdom
15,5,F$1,290,000,000,2013,[# 26][# 27],Frozen
16,10,$1,263,521,126,2017,[# 28][# 29],Beauty and the Beast
17,15,$1,242,805,359,2018,[# 30][# 10],Incredibles 2
18,11,F8$1,238,764,765,2017,[# 31][# 29],The Fate of the Furious
19,5,$1,214,811,252,2013,[# 32][# 33],Iron Man 3
20,10,$1,159,398,397,2015,[# 34][# 12],Minions
21,12,$1,153,304,495,2016,[# 35][# 36],Captain America Civil War
22,20,$1,147,961,807,2018,[# 37][# 10],Aquaman
23,23,$1,130,838,626,2019,[# 38][# 2],Spider-Man Far From Home
24,22,$1,128,274,794,2019,[# 39][# 40],Captain Marvel
25,4,$1,123,794,079,2011,[# 41][# 22],Transformers Dark of the Moon
26,2,$1,120,237,002,2003,[# 42][# 43],The Lord of the Rings The Return of the King
27,7,$1,108,561,013,2012,[# 44][# 45],Skyfall
28,10,$1,104,054,072,2014,[# 46][# 47],Transformers Age of Extinction
29,7,$1,084,939,099,2012,[# 48][# 49],The Dark Knight Rises
30,4TS3,$1,066,969,703,2010,[# 50][# 51],Toy Story 3
31,3,$1,066,179,725,2006,[# 52][# 53],Pirates of the Caribbean Dead Man's Chest
32,32,$1,065,973,326,2019,[# 54][# 2],Toy Story 4
33,20,$1,056,057,273,2016,[# 55][# 56],Rogue One A Star Wars Story
34,34,$1,050,212,629,2019,[# 57][# 2],Aladdin
35,6,$1,045,713,802,2011,[# 58][# 51],Pirates of the Caribbean On Stranger Tides
36,24,$1,034,799,409,2017,[# 59][# 29],Despicable Me 3
37,1,$1,029,939,903,1993,[# 60][# 61],Jurassic Park
38,22,$1,028,570,889,2016,[# 62][# 63],Finding Dory
39,2,$1,027,044,677,1999,[# 64][# 6],Star Wars Episode I – The Phantom Menace
40,5,$1,025,467,110,2010,[# 65][# 66],Alice in Wonderland
41,24,$1,023,784,195,2016,[# 67][# 36],Zootopia
42,14,$1,021,103,568,2012,[# 68][# 69],The Hobbit An Unexpected Journey
43,4,$1,004,934,033,2008,[# 70][# 71],The Dark Knight
44,2PS,$975,051,288,2001,[# 72][# 73],Harry Potter and the Philosopher's Stone
45,19DM2,$970,761,885,2013,[# 74][# 33],Despicable Me 2
46,2,$968,483,777,1994,[# 75][# 61],The Lion King
47,30,$966,550,600,2016,[# 76][# 77],The Jungle Book
48,5,$963,420,425,2007,[# 78][# 79],Pirates of the Caribbean At World's End
49,40,$962,126,927,2017,[# 80][# 20],Jumanji Welcome to the Jungle
50,10,$960,431,568,2010,[# 81][# 82],Harry Potter and the Deathly Hallows – Part 1
